PANTONENAME,UNIQUECODE,L,a,b
10309 C,10213,54,-39,35
10310 C,10214,65,-6,5
10311 C,10215,60,-9,8
10312 C,10216,57,-12,10
10313 C,10217,52,-13,12
10314 C,10218,48,-15,14
10315 C,10219,44,-16,14
10316 C,10220,67,-13,19
10317 C,10221,66,-18,27
10318 C,10222,64,-23,32
10319 C,10223,63,-27,38
10320 C,10224,63,-33,44
10321 C,10225,61,-38,49
10322 C,10226,69,-10,26
10323 C,10227,67,-13,35
10324 C,10228,67,-15,42
10325 C,10229,66,-18,49
10326 C,10230,65,-21,55
10327 C,10231,66,-25,62
10328 C,10232,64,-8,17
10329 C,10233,61,-11,22
10330 C,10234,57,-12,26
10331 C,10235,54,-13,28
10332 C,10236,51,-15,31
10333 C,10237,47,-16,33
10334 C,10238,63,-2,11
10335 C,10239,60,-3,15
10336 C,10240,56,-2,19
10337 C,10241,52,-2,21
10338 C,10242,49,-3,24
10339 C,10243,45,-3,27
10340 C,10244,62,1,13
10341 C,10245,60,1,18
10342 C,10246,56,1,23
10343 C,10247,52,2,25
10344 C,10248,49,2,29
10345 C,10249,45,2,31
10346 C,10250,63,3,15
10347 C,10251,59,4,20
10348 C,10252,56,6,23
10349 C,10253,53,6,28
10350 C,10254,50,7,30
10351 C,10255,47,7,33
10352 C,10256,66,2,9
10353 C,10257,62,4,17
10354 C,10258,59,6,23
10355 C,10259,56,8,27
10356 C,10260,53,8,31
10357 C,10261,49,10,33
10358 C,10262,61,5,14
10359 C,10263,58,5,19
10360 C,10264,54,8,22
10361 C,10265,50,8,25
10362 C,10266,45,9,27
10363 C,10267,41,10,29
10364 C,10268,64,4,11
10365 C,10269,59,8,18
10366 C,10270,55,11,23
10367 C,10271,51,13,26
10368 C,10272,47,16,29
10369 C,10273,43,18,31
10370 C,10274,64,2,5
10371 C,10275,58,3,10
10372 C,10276,54,5,12
10373 C,10277,48,7,14
10374 C,10278,43,8,14
10375 C,10279,39,8,16
10376 C,10280,58,3,5
10377 C,10281,53,4,6
10378 C,10282,48,6,9
10379 C,10283,44,7,9
10380 C,10284,40,6,11
10381 C,10285,34,7,11
10382 C,10286,60,2,-1
10383 C,10287,53,3,-1
10384 C,10288,47,4,-1
10385 C,10289,41,4,-1
10386 C,10290,35,3,0
10387 C,10291,29,4,0
10388 C,10292,60,-2,-3
10389 C,10293,53,-2,-4
10390 C,10294,47,-2,-4
10391 C,10295,41,-2,-4
10392 C,10296,35,-2,-4
10393 C,10297,30,-2,-4
10394 C,10298,52,0,1
10395 C,10299,46,0,2
10396 C,10300,39,1,2
10397 C,10301,33,1,2
10398 C,10302,27,1,2
10399 C,10303,22,0,1
104 C,10304,63,0,65
10401 C,10305,63,19,60
10402 C,10306,63,14,41
10403 C,10307,59,8,32
10404 C,10308,62,6,24
10405 C,10309,64,4,22
10406 C,10310,66,5,20
10407 C,10311,67,3,18
10408 C,10312,63,9,18
10409 C,10313,54,16,19
10410 C,10314,51,20,11
10411 C,10315,60,19,10
10413 C,10316,49,49,25
10414 C,10317,43,60,8
10415 C,10318,44,46,23
10416 C,10319,39,52,30
10417 C,10320,41,52,29
10418 C,10321,35,37,20
10419 C,10322,60,24,7
10420 C,10323,57,22,0
10421 C,10324,43,41,-7
10422 C,10325,35,40,-12
10423 C,10326,42,34,-19
10424 C,10327,29,39,-23
10425 C,10328,35,8,-40
